Year;city;Total
2025;Plauen;-
2025;Zwickau;-
2025;Annaberg;-
2025;Chemnitzer Land;-
2025;Freiberg;-
2025;Mittlerer;-
2025;Mittweida;-
2025;Stollberg;-
2025;Aue-Schwarzenberg;-
2025;Zwickauer Land;-
2025;Görlitz;-
2025;Hoyerswerda;-
2025;Niederschlesischer;-
2025;Riesa-Großenhain;-
2025;Löbau-Zittau;-
2025;Sächsische Schweiz;-
2025;Weißeritzkreis;-
2025;Kamenz;-
2025;Delitzsch;-
2025;Döbeln;-
2025;Leipziger Land;-
2025;Muldentalkreis;-
2025;Torgau-Oschatz;-
2025;Chemnitz;117031
2025;Erzgebirgskreis;107917
2025;Mittelsachsen;103123
2025;Vogtlandkreis;78548
2025;Dresden;281076
2025;Bautzen;108982
2025;Meißen;88666
2025;Sächsische Schweiz-Osterzgebirge;79254
2025;Leipzig;297289
2025;Nordsachsen;76536
2025;Dessau-Roßlau;32716
2025;Halle (Saale);102313
2025;Magdeburg;112264
2025;Altmarkkreis;24740
2025;Anhalt-Bitterfeld;54791
2025;Börde;62341
2025;Burgenlandkreis;57945
2025;Harz;69614
2025;Mansfeld-Südharz;38833
2025;Saalekreis;68576
2025;Salzlandkreis;60157
2025;Dessau;-
2025;Anhalt-Zerbst;-
2025;Bernburg;-
2025;Bitterfeld;-
2025;Köthen;-
2025;Wittenberg;-
2025;Halle;-
2025;Mansfelder Land;-
2025;Merseburg-Querfurt;-
2025;Saalkreis;-
2025;Sangerhausen;-
2025;Weißenfels;-
2025;Aschersleben-Staßfurt;-
2025;Bördekreis;-
2025;Halberstadt;-
2025;Jerichower Land;-
2025;Ohrekreis;-
2025;Stendal;-
2025;Quedlinburg;-
2025;Schönebeck;-
2025;Wernigerode;-
2025;Altmarkkreis Salzwedel;-
2025;Erfurt;116209
2025;Gera;38227
2025;Jena;60457
2025;Suhl;13691
2025;Weimar;25414
2025;Eisenach;-
2025;Eichsfeld;34973
2025;Nordhausen;28555
2025;Wartburgkreis;58824
2025;Unstrut;33214
2025;Kyffhäuserkreis;19115
2025;Schmalkalden-Meiningen;40717
2025;Gotha;46819
2025;Sömmerda;22292
2025;Hildburghausen;18061
2025;Ilm;40511
2025;Weimarer Land;25654
2025;Sonneberg;18026
2025;Saalfeld-Rudolstadt;33418
2025;      Saale-Holzland;26758
2025;      Saale-Orla;26964
2025;Greiz;28558
2025;Altenburger Land;26673
